model,dataset,filenames,domain,predicted_class,true_class
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-002100-003100.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-002200-003200.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-002300-003300.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-002400-003400.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-002500-003500.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-002600-003600.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-002700-003700.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-002900-003900.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-003000-004000.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-003100-004100.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-003200-004200.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-003300-004300.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-003400-004400.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-003600-004600.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-003700-004700.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-003800-004800.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-003900-004900.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-004000-005000.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-004100-005100.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-004200-005200.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-004300-005300.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-004400-005400.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-004500-005500.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-004600-005600.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-005000-006000.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-005200-006200.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-005300-006300.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-005400-006400.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-005500-006500.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-005600-006600.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-005700-006700.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-005900-006900.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-006000-007000.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-006200-007200.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-006300-007300.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-006500-007500.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-006600-007600.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-006700-007700.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-006800-007800.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-006900-007900.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-007000-008000.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-007100-008100.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-007200-008200.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-007500-008500.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-007600-008600.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-007700-008700.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-007800-008800.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-007900-008900.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-008000-009000.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-008100-009100.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-008200-009200.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-008300-009300.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-008500-009500.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-008600-009600.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-008800-009800.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-009000-010000.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-009100-010100.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-009200-010200.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-009300-010300.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-009400-010400.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-009500-010500.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-009600-010600.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-009700-010700.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-009800-010800.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-009900-010900.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-010000-011000.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-010100-011100.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-010200-011200.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-010300-011300.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-010500-011500.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-010600-011600.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-010700-011700.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-010800-011800.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-010900-011900.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-011200-012200.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-011300-012300.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-011400-012400.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-011500-012500.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-011600-012600.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-011900-012900.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-012100-013100.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-012200-013200.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-012400-013400.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-012500-013500.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-012600-013600.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-012700-013700.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-012800-013800.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-012900-013900.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-013000-014000.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-013100-014100.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-013300-014300.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-013400-014400.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-013600-014600.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-013700-014700.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-013800-014800.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-013900-014900.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-014000-015000.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-014100-015100.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-014200-015200.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-014300-015300.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-014400-015400.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-014600-015600.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-014700-015700.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-014800-015800.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-014900-015900.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-015000-016000.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-015100-016100.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-015200-016200.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-015500-016500.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-015600-016600.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-015900-016900.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-016000-017000.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-016100-017100.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-016200-017200.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-016300-017300.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-016400-017400.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-016500-017500.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-016600-017600.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-016700-017700.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-016800-017800.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-016900-017900.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-017000-018000.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-017200-018200.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-017300-018300.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-017400-018400.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-017600-018600.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-017700-018700.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-017800-018800.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-018000-019000.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-018100-019100.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-018200-019200.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-018300-019300.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-018400-019400.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-018500-019500.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-018600-019600.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-018700-019700.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-018800-019800.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-018900-019900.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-019000-020000.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-019100-020100.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-019200-020200.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-019300-020300.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-019400-020400.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-019500-020500.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-019600-020600.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-019700-020700.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-019800-020800.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-019900-020900.wav,real,people talking,cutlery and dishes
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/cafe_restaurant_14-020100-021063.wav,real,people talking,people talking
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-000000-001000.wav,real,car,large_vehicle
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-000100-001100.wav,real,car,large_vehicle
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-000200-001200.wav,real,car,large_vehicle
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-000300-001300.wav,real,car,large_vehicle
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-000400-001400.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-000500-001500.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-000600-001600.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-000700-001700.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-000800-001800.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-000900-001900.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-001000-002000.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-001100-002100.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-001200-002200.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-001300-002300.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-001400-002400.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-001500-002500.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-001600-002600.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-001700-002700.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-001800-002800.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-001900-002900.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-002000-003000.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-002100-003100.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-002200-003200.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-002300-003300.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-002400-003400.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-002500-003500.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-002600-003600.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-002700-003700.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-002900-003900.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-003000-004000.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-003100-004100.wav,real,car,car
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-003200-004200.wav,real,car,large_vehicle
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-003300-004300.wav,real,car,large_vehicle
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-003400-004400.wav,real,car,large_vehicle
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-003500-004500.wav,real,car,large_vehicle
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-003600-004600.wav,real,car,large_vehicle
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-003700-004700.wav,real,car,large_vehicle
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-003800-004800.wav,real,car,large_vehicle
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-003900-004900.wav,real,car,large_vehicle
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-004000-005000.wav,real,car,large_vehicle
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-004100-005100.wav,real,car,large_vehicle
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-004200-005200.wav,real,car,large_vehicle
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-004300-005300.wav,real,car,large_vehicle
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-004500-005500.wav,real,car,large_vehicle
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-004600-005600.wav,real,car,large_vehicle
baseline,maestro_validation,/mnt/data/data/dcase/dataset/audio/maestro_real_train_16k/city_center_11-004700-005700.wav,real,car,large_vehicle
